Input Name,SymPy F5B Time (sec),CP GPU Time (sec),SP GPU Time (sec),SP2 GPU Time (sec),CP+SP GPU Time (sec),CP+SP2 GPU Time (sec),Number of Variables,Number of Polynomials,Max Degree,CP Matching,SP Matching,SP2 Matching,CPSP matching,CPSP2 matching
cyclic_affine_3,0.0008053779602050781,0.4469468593597412,0.0008225440979003906,0.002357006072998047,0.00771331787109375,0.008322715759277344,3,3,1,True,True,True,True,True
cyclic_affine_4,0.012334108352661133,0.12252211570739746,0.15311169624328613,0.2105855941772461,0.17351293563842773,0.16280269622802734,4,4,1,True,True,True,True,True
katsura_affine_4,0.013175249099731445,0.08214974403381348,0.0538480281829834,0.11213302612304688,0.11513566970825195,0.10002398490905762,4,4,2,True,True,True,True,True
eco_affine_4,0.007918596267700195,0.09194326400756836,0.03251457214355469,0.06535196304321289,0.10677552223205566,0.10620927810668945,4,4,1,True,True,True,True,True
caprasse,34.75796937942505,99.49288988113403,112.6090395450592,227.11418890953064,152.6602041721344,152.22816467285156,4,4,3,True,True,True,True,True
cyclic_affine_5,2.77535080909729,22.986279487609863,9.377470254898071,19.774624347686768,29.418129444122314,29.327585458755493,5,5,1,True,True,True,True,True
katsura_affine_5,0.12564921379089355,0.6906263828277588,0.4297928810119629,1.262308120727539,1.0607454776763916,1.1025962829589844,5,5,2,True,True,True,True,True
eco_affine_5,0.06380581855773926,0.44586920738220215,0.22420883178710938,0.506134033203125,0.5276200771331787,0.506051778793335,5,5,1,True,True,True,True,True
chandra_5,0.27205610275268555,2.5435588359832764,0.8781297206878662,2.4382853507995605,2.9977293014526367,2.9880712032318115,5,5,2,True,True,True,True,True
chemequs_5,2.5522665977478027,11.017165422439575,8.080536365509033,18.258991718292236,15.608888149261475,15.611695289611816,5,5,2,True,True,True,True,True
camera1s,5.263545989990234,21.54038977622986,13.815012693405151,39.825849771499634,29.953627824783325,29.917309045791626,6,6,1,True,True,True,True,True
original_cyc_4_4_2,0.4971790313720703,1.198087215423584,1.3129281997680664,2.645382881164551,1.931828260421753,1.929731845855713,8,8,2,True,True,True,True,True
comb3000s,0.1419963836669922,0.990647554397583,0.3897824287414551,1.2990021705627441,1.1995213031768799,1.092310905456543,10,10,2,True,True,True,True,True
